yard,week,pot_id,pot_order,pot_row,pot_col,rnd_seed,date,combination,mono_hetero,nitrogen,plant_num,plant_species,leaves_emerged,leaves_emerging,leaves_dead,leaf_height,leaf_width,dead,resprout,notes,check notes
SMI,3,145_X_CnEv_SMI,3,1,3,11,8/3/2020,,,,1,Chamaecrista nictitans,NA,NA,NA,NA,NA,Y,N,,
SMI,3,145_X_CnEv_SMI,3,1,3,11,8/3/2020,,,,2,Elymus virginicus,5,8,3,10.9,0.2,N,N,,
SMI,3,125_X_CnCn_SMI,4,1,4,11,8/3/2020,,,,1,Chamaecrista nictitans,NA,NA,NA,NA,NA,Y,N,,
SMI,3,125_X_CnCn_SMI,4,1,4,11,8/3/2020,,,,2,Chamaecrista nictitans,NA,NA,NA,NA,NA,Y,N,,
SMI,3,127_X_EpEp_SMI,5,1,5,11,8/3/2020,,,,1,Eutrochium fistulosum,4,11,0,1,0.7,N,N,,
SMI,3,127_X_EpEp_SMI,5,1,5,11,8/3/2020,,,,2,Eutrochium fistulosum,NA,NA,NA,NA,NA,Y,N,,
SMI,3,154_N_CnCn_SMI,6,1,6,11,8/3/2020,,,,1,Chamaecrista nictitans,45,15,0,4.2,2.6,N,N,,
SMI,3,154_N_CnCn_SMI,6,1,6,11,8/3/2020,,,,2,Chamaecrista nictitans,45,22,0,3.9,2.5,N,N,,
SMI,3,130_X_EpEp_SMI,7,1,7,11,8/3/2020,,,,1,Eutrochium fistulosum,35,38,0,3.5,1.5,N,N,,
SMI,3,130_X_EpEp_SMI,7,1,7,11,8/3/2020,,,,2,Eutrochium fistulosum,61,25,0,5.6,2.9,N,N,,
SMI,3,180_N_EpEv_SMI,8,1,8,11,8/3/2020,,,,1,Eutrochium fistulosum,21,33,0,3.2,2.4,N,N,,
SMI,3,180_N_EpEv_SMI,8,1,8,11,8/3/2020,,,,2,Elymus virginicus,13,4,2,14.1,0.5,N,N,,
SMI,3,131_X_EvEv_SMI,9,1,9,11,8/3/2020,,,,1,Elymus virginicus,1,4,6,7.9,0.3,N,N,,
SMI,3,131_X_EvEv_SMI,9,1,9,11,8/3/2020,,,,2,Elymus virginicus,12,9,4,19.9,0.5,N,N,,
SMI,3,152_N_CnCn_SMI,10,1,10,11,8/3/2020,,,,1,Chamaecrista nictitans,NA,NA,NA,NA,NA,Y,N,,what happened here? 
SMI,3,152_N_CnCn_SMI,10,1,10,11,8/3/2020,,,,2,Chamaecrista nictitans,5,5,0,1.9,1.8,N,N,,
SMI,3,172_N_CnEv_SMI,11,1,11,11,8/3/2020,,,,1,Chamaecrista nictitans,49,21,0,4.6,2.9,N,N,,
SMI,3,172_N_CnEv_SMI,11,1,11,11,8/3/2020,,,,2,Elymus virginicus,5,3,3,10,0.2,N,N,,
SMI,3,153_N_CnCn_SMI,12,1,12,11,8/3/2020,,,,1,Chamaecrista nictitans,7,2,0,2.6,2.2,N,N,,
SMI,3,153_N_CnCn_SMI,12,1,12,11,8/3/2020,,,,2,Chamaecrista nictitans,7,4,0,1.8,1.9,N,N,,
SMI,3,144_X_CnEv_SMI,13,2,12,11,8/3/2020,,,,1,Chamaecrista nictitans,41,15,1,3.6,2.8,N,N,,
SMI,3,144_X_CnEv_SMI,13,2,12,11,8/3/2020,,,,2,Elymus virginicus,12,9,2,10.6,0.3,N,N,,
SMI,3,143_X_CnEv_SMI,14,2,11,11,8/3/2020,,,,1,Chamaecrista nictitans,50,14,0,4.6,2.5,N,N,,
SMI,3,143_X_CnEv_SMI,14,2,11,11,8/3/2020,,,,2,Elymus virginicus,5,5,5,13,0.5,N,N,,
SMI,3,138_X_CnEp_SMI,15,2,10,11,8/3/2020,,,,1,Chamaecrista nictitans,51,25,0,3.7,2.6,N,N,,
